team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2017141,4.45,.244,40,.315,.411,.726,32,564,358,1.36,409,13,2.64,76
2018141,4.57,.237,41,.310,.420,.730,27,567,390,1.39,430,15,2.41,73
2019141,4.91,.232,34,.300,.411,.711,27,553,393,1.45,477,7,2.19,67
2021141,3.97,.267,44,.329,.454,.783,39,552,438,1.26,359,10,2.92,91
2022141,4.13,.258,45,.325,.431,.756,28,576,389,1.27,375,15,3.02,92
2023141,3.88,.262,49,.329,.420,.749,68,634,406,1.25,371,8,3.23,89
2024141,4.29,.234,42,.311,.372,.683,44,607,363,1.29,420,10,2.78,74
2013142,4.50,.246,37,.319,.387,.706,28,640,354,1.42,401,13,2.14,66
2014142,4.36,.244,39,.319,.370,.689,45,656,364,1.34,401,8,2.32,70
2015142,3.82,.251,45,.303,.393,.696,39,490,352,1.32,341,5,2.44,83
2016142,4.95,.250,30,.316,.412,.728,56,596,367,1.42,449,11,2.79,59
2017142,4.82,.254,45,.329,.412,.741,52,623,397,1.43,447,8,2.08,85
2018142,4.37,.238,38,.308,.398,.706,29,568,366,1.36,396,17,2.61,78
2019142,3.97,.272,56,.336,.497,.833,23,614,509,1.26,393,6,3.06,101
2021142,5.01,.245,35,.316,.432,.748,29,588,391,1.37,460,11,2.66,73
2022142,3.66,.253,47,.323,.421,.744,14,578,386,1.22,334,17,2.80,78
2023142,3.53,.233,45,.310,.401,.711,44,611,376,1.15,332,17,3.43,87
2024142,4.16,.255,51,.325,.431,.756,45,602,447,1.19,396,12,3.58,82
2013143,4.19,.258,43,.313,.406,.719,52,586,350,1.33,397,10,2.48,73
2014143,3.86,.237,38,.300,.361,.661,58,654,333,1.33,388,10,2.29,73
2015143,4.63,.247,29,.299,.365,.664,53,596,299,1.47,430,4,2.24,63
2016143,4.34,.242,40,.294,.392,.686,36,518,310,1.31,401,9,3.16,71
2017143,4.71,.242,28,.304,.390,.694,34,550,324,1.40,421,14,2.29,66
2018143,3.88,.237,49,.321,.397,.718,36,602,385,1.27,362,11,3.04,80
2019143,4.64,.246,47,.325,.424,.749,36,626,442,1.40,440,10,2.53,81
2021143,4.39,.239,41,.314,.396,.710,48,576,373,1.29,394,22,3.09,82
2022143,3.80,.248,44,.317,.421,.738,52,548,403,1.23,346,9,2.97,87
2023143,4.03,.260,48,.322,.423,.745,68,620,395,1.24,380,8,3.23,90
2024143,3.26,.258,58,.329,.418,.747,93,647,442,1.13,333,14,3.52,95
2013144,3.29,.251,50,.326,.414,.740,31,629,383,1.20,307,8,2.93,96
2014144,3.22,.244,49,.308,.375,.683,49,635,330,1.24,319,10,2.96,79
2015144,3.90,.257,42,.318,.369,.687,41,584,331,1.34,355,14,2.27,67
2016144,4.32,.235,29,.298,.340,.638,45,608,290,1.33,401,13,2.31,68
2017144,4.68,.262,41,.325,.408,.733,37,579,387,1.39,439,16,2.14,72
2018144,3.79,.259,50,.327,.423,.750,50,628,436,1.28,361,11,2.31,90
2019144,4.18,.263,54,.337,.463,.800,36,633,491,1.37,432,16,2.37,97
2021144,4.26,.239,42,.322,.424,.746,41,579,406,1.32,390,13,2.61,88
2022144,3.61,.248,49,.314,.442,.756,46,549,396,1.23,336,17,2.97,101
2023144,3.60,.271,59,.340,.495,.835,70,568,489,1.26,341,15,2.99,104
